param_C,param_gamma,param_epsilon,mean_test_score
0.1,0.1,0.1,-0.007079917643955658
0.1,0.5,0.1,-0.007107445389726842
0.1,1.0,0.1,-0.007111911015243742
0.1,0.1,0.2,-0.007372048870371169
0.1,0.5,0.2,-0.00737368941397961
0.1,1.0,0.2,-0.007387894704153364
0.1,0.1,0.3,-0.00981843649135052
0.1,0.5,0.3,-0.009835519313847551
0.1,1.0,0.3,-0.009791399660881616
1.0,0.1,0.1,-0.007098149465467791
1.0,0.5,0.1,-0.00711636011013599
1.0,1.0,0.1,-0.007118679967904565
1.0,0.1,0.2,-0.007388498032186282
1.0,0.5,0.2,-0.007420291126388586
1.0,1.0,0.2,-0.007436545207964659
1.0,0.1,0.3,-0.009744789883077436
1.0,0.5,0.3,-0.009226944057989803
1.0,1.0,0.3,-0.009093745170443895
10.0,0.1,0.1,-0.007113623223484404
10.0,0.5,0.1,-0.007121559625432895
10.0,1.0,0.1,-0.007122849374636903
10.0,0.1,0.2,-0.007431691718436421
10.0,0.5,0.2,-0.00744518937014179
10.0,1.0,0.2,-0.0074618383539290485
10.0,0.1,0.3,-0.009149349766311047
10.0,0.5,0.3,-0.009365795069591322
10.0,1.0,0.3,-0.009791690031991828
