param_C,param_gamma,param_epsilon,mean_test_score
0.1,0.1,0.1,-0.006149638032230824
0.1,0.5,0.1,0.0026653164253462127
0.1,1.0,0.1,0.00039107848360401637
0.1,0.1,0.2,-0.06853283492956752
0.1,0.5,0.2,-0.05332926919622697
0.1,1.0,0.2,-0.04472683585245507
0.1,0.1,0.3,-0.4446915556307163
0.1,0.5,0.3,-0.44401106933694573
0.1,1.0,0.3,-0.4432114266216771
1.0,0.1,0.1,-0.007838811891474137
1.0,0.5,0.1,-0.014233617530173381
1.0,1.0,0.1,-0.05911287757862308
1.0,0.1,0.2,-0.04630702896926068
1.0,0.5,0.2,-0.04305145361520146
1.0,1.0,0.2,-0.044409055689956824
1.0,0.1,0.3,-0.44310870965762433
1.0,0.5,0.3,-0.43653437611869145
1.0,1.0,0.3,-0.42920375465407873
10.0,0.1,0.1,-0.002742346359330979
10.0,0.5,0.1,-0.09145669539237833
10.0,1.0,0.1,-0.020499275311838077
10.0,0.1,0.2,-0.048082126496365084
10.0,0.5,0.2,-0.045863750218640344
10.0,1.0,0.2,-0.05744202918077849
10.0,0.1,0.3,-0.4282985131483688
10.0,0.5,0.3,-0.3906521656224258
10.0,1.0,0.3,-0.4146720400783162
