param_C,param_gamma,param_epsilon,mean_test_score
0.1,0.1,0.1,0.029393667430031505
0.1,0.5,0.1,0.04515475120535791
0.1,1.0,0.1,0.047376259023431455
0.1,0.1,0.2,-0.05994538497299421
0.1,0.5,0.2,-0.027299179416386782
0.1,1.0,0.2,-0.019324856239550714
0.1,0.1,0.3,-0.44492346435397173
0.1,0.5,0.3,-0.4455346496596866
0.1,1.0,0.3,-0.447163290591787
1.0,0.1,0.1,0.04678320485830234
1.0,0.5,0.1,0.046878052157940754
1.0,1.0,0.1,0.04730694892113315
1.0,0.1,0.2,-0.026112400071198527
1.0,0.5,0.2,-0.005664893467430783
1.0,1.0,0.2,-0.006159599844738757
1.0,0.1,0.3,-0.447170771350128
1.0,0.5,0.3,-0.4439600984624592
1.0,1.0,0.3,-0.38573253284579323
10.0,0.1,0.1,0.04710864243937518
10.0,0.5,0.1,0.04619508632709024
10.0,1.0,0.1,0.04751477258746898
10.0,0.1,0.2,-0.011780070086747493
10.0,0.5,0.2,0.003591328622109461
10.0,1.0,0.2,0.008243168466406084
10.0,0.1,0.3,-0.41446961414062966
10.0,0.5,0.3,-0.3889065217697028
10.0,1.0,0.3,-0.3464015841218618
