param_C,param_gamma,param_epsilon,mean_test_score
0.1,0.1,0.1,-0.00429364210703032
0.1,0.5,0.1,-0.003982241576292296
0.1,1.0,0.1,-0.00383129379042667
0.1,0.1,0.2,-0.017289693598573668
0.1,0.5,0.2,-0.01754272342827826
0.1,1.0,0.2,-0.017936953188454677
0.1,0.1,0.3,-0.04079822958196306
0.1,0.5,0.3,-0.0409773706930422
0.1,1.0,0.3,-0.041187645162888885
1.0,0.1,0.1,-0.0038596191389068135
1.0,0.5,0.1,-0.0036348275640628257
1.0,1.0,0.1,-0.003598280623155831
1.0,0.1,0.2,-0.01796296047851764
1.0,0.5,0.2,-0.01842156501158504
1.0,1.0,0.2,-0.018582081317269173
1.0,0.1,0.3,-0.04119571322511914
1.0,0.5,0.3,-0.04205559833433836
1.0,1.0,0.3,-0.043070819456192545
10.0,0.1,0.1,-0.0036243311565382357
10.0,0.5,0.1,-0.003594599935837704
10.0,1.0,0.1,-0.003720693285061312
10.0,0.1,0.2,-0.01863120338221451
10.0,0.5,0.2,-0.01870840905347169
10.0,1.0,0.2,-0.01881466294336832
10.0,0.1,0.3,-0.04313001227933328
10.0,0.5,0.3,-0.04352190762278979
10.0,1.0,0.3,-0.043370594359664234
