param_C,param_gamma,param_epsilon,mean_test_score
0.1,0.1,0.1,-0.00353517151735091
0.1,0.5,0.1,-0.003835091416625218
0.1,1.0,0.1,-0.003878409504746472
0.1,0.1,0.2,-0.006641364744084047
0.1,0.5,0.2,-0.006411556370200685
0.1,1.0,0.2,-0.007266392600538129
0.1,0.1,0.3,-0.009271967574890487
0.1,0.5,0.3,-0.008240473329292059
0.1,1.0,0.3,-0.008597723600726697
1.0,0.1,0.1,-0.0038792173414743253
1.0,0.5,0.1,-0.0038855699445269295
1.0,1.0,0.1,-0.003855716651929962
1.0,0.1,0.2,-0.007178241443944365
1.0,0.5,0.2,-0.009314297147282607
1.0,1.0,0.2,-0.009503384483266155
1.0,0.1,0.3,-0.008951313356745478
1.0,0.5,0.3,-0.009894820297857163
1.0,1.0,0.3,-0.010632876337400834
10.0,0.1,0.1,-0.003878340625812471
10.0,0.5,0.1,-0.00389448676778058
10.0,1.0,0.1,-0.0038880654477812943
10.0,0.1,0.2,-0.00954820909635633
10.0,0.5,0.2,-0.00975881897091145
10.0,1.0,0.2,-0.00958113629261828
10.0,0.1,0.3,-0.01081762930585955
10.0,0.5,0.3,-0.01074749774096379
10.0,1.0,0.3,-0.010805559775614806
