param_C,param_gamma,param_epsilon,mean_test_score
0.1,0.1,0.1,-0.007116350857740777
0.1,0.5,0.1,-0.007126997595597447
0.1,1.0,0.1,-0.007142795404790598
0.1,0.1,0.2,-0.00739927304858111
0.1,0.5,0.2,-0.007434086864310613
0.1,1.0,0.2,-0.00743324399801379
0.1,0.1,0.3,-0.009771371572462688
0.1,0.5,0.3,-0.00995746177192512
0.1,1.0,0.3,-0.01013921521870937
1.0,0.1,0.1,-0.007136993482977913
1.0,0.5,0.1,-0.007154617311581952
1.0,1.0,0.1,-0.0071527950186942016
1.0,0.1,0.2,-0.007429050909649324
1.0,0.5,0.2,-0.007463375767583273
1.0,1.0,0.2,-0.0074807516139238465
1.0,0.1,0.3,-0.010148526990878278
1.0,0.5,0.3,-0.01055305331180909
1.0,1.0,0.3,-0.010700700909753584
10.0,0.1,0.1,-0.007140006920651966
10.0,0.5,0.1,-0.00715594736165133
10.0,1.0,0.1,-0.007153571950461821
10.0,0.1,0.2,-0.00746938325232399
10.0,0.5,0.2,-0.007471511549059247
10.0,1.0,0.2,-0.007493505254716012
10.0,0.1,0.3,-0.010696723474446257
10.0,0.5,0.3,-0.010844467268604786
10.0,1.0,0.3,-0.010892608350683642
