param_C,param_gamma,param_epsilon,mean_test_score
0.1,0.1,0.1,-0.026498578253575083
0.1,0.5,0.1,-0.026675036587097356
0.1,1.0,0.1,-0.028194599294984652
0.1,0.1,0.2,-0.07862536618105202
0.1,0.5,0.2,-0.07857837704223354
0.1,1.0,0.2,-0.07856070176472156
0.1,0.1,0.3,-0.44484525079201664
0.1,0.5,0.3,-0.4447521085264509
0.1,1.0,0.3,-0.44463487230020404
1.0,0.1,0.1,-0.02667372855120383
1.0,0.5,0.1,-0.03104709749176456
1.0,1.0,0.1,-0.030380584087089435
1.0,0.1,0.2,-0.07894817380167418
1.0,0.5,0.2,-0.08299440270288024
1.0,1.0,0.2,-0.08267463851867703
1.0,0.1,0.3,-0.44463548417897325
1.0,0.5,0.3,-0.44370632683175854
1.0,1.0,0.3,-0.44254024605910985
10.0,0.1,0.1,-0.029195006147441378
10.0,0.5,0.1,-0.03142373831805904
10.0,1.0,0.1,-0.030904697214299965
10.0,0.1,0.2,-0.08369842242890813
10.0,0.5,0.2,-0.08514993185709585
10.0,1.0,0.2,-0.08945066999836504
10.0,0.1,0.3,-0.44254854919622927
10.0,0.5,0.3,-0.43348350656889845
10.0,1.0,0.3,-0.4224508478246323
