param_C,param_gamma,param_epsilon,mean_test_score
0.1,0.1,0.1,-0.026761597921089158
0.1,0.5,0.1,-0.02193394602524294
0.1,1.0,0.1,-0.020293022124857767
0.1,0.1,0.2,-0.07741635621467154
0.1,0.5,0.2,-0.07276318260908266
0.1,1.0,0.2,-0.07136467608765851
0.1,0.1,0.3,-0.44504371247617586
0.1,0.5,0.3,-0.445759169889482
0.1,1.0,0.3,-0.4466803051425159
1.0,0.1,0.1,-0.02147810582160418
1.0,0.5,0.1,-0.019437659228063214
1.0,1.0,0.1,-0.019227671843428367
1.0,0.1,0.2,-0.07169236614359804
1.0,0.5,0.2,-0.06892337632395869
1.0,1.0,0.2,-0.07259134966236029
1.0,0.1,0.3,-0.4466611581892245
1.0,0.5,0.3,-0.454705625593168
1.0,1.0,0.3,-0.4664617638047972
10.0,0.1,0.1,-0.020394788038463136
10.0,0.5,0.1,-0.01856001495725723
10.0,1.0,0.1,-0.02047833920224899
10.0,0.1,0.2,-0.07176403056309233
10.0,0.5,0.2,-0.07585793824754931
10.0,1.0,0.2,-0.07115701832076309
10.0,0.1,0.3,-0.46691100616498815
10.0,0.5,0.3,-0.5192678650090378
10.0,1.0,0.3,-0.5437134734777161
