param_C,param_gamma,param_epsilon,mean_test_score
0.1,0.1,0.1,-0.027358463490942064
0.1,0.5,0.1,-0.030633447679649078
0.1,1.0,0.1,-0.03123846513180391
0.1,0.1,0.2,-0.078723090854575
0.1,0.5,0.2,-0.07904505971375138
0.1,1.0,0.2,-0.07945136110313866
0.1,0.1,0.3,-0.4450162955103496
0.1,0.5,0.3,-0.44560592667100923
0.1,1.0,0.3,-0.4463431972516985
1.0,0.1,0.1,-0.029898052003166975
1.0,0.5,0.1,-0.03388862706235699
1.0,1.0,0.1,-0.035284327126200145
1.0,0.1,0.2,-0.07949196111296615
1.0,0.5,0.2,-0.0767968355904615
1.0,1.0,0.2,-0.07575645631771029
1.0,0.1,0.3,-0.4463555256258789
1.0,0.5,0.3,-0.4524637426076026
1.0,1.0,0.3,-0.4603802824490935
10.0,0.1,0.1,-0.033318587440993884
10.0,0.5,0.1,-0.03403269799085266
10.0,1.0,0.1,-0.03451612908200804
10.0,0.1,0.2,-0.07615768114310699
10.0,0.5,0.2,-0.07684874808127755
10.0,1.0,0.2,-0.07713117513604706
10.0,0.1,0.3,-0.46064774426220484
10.0,0.5,0.3,-0.4954120742768389
10.0,1.0,0.3,-0.5538951821427597
