param_C,param_gamma,param_epsilon,mean_test_score
0.1,0.1,0.1,-0.007100569922841926
0.1,0.5,0.1,-0.0071033608521239786
0.1,1.0,0.1,-0.00711731623651288
0.1,0.1,0.2,-0.007396691190335367
0.1,0.5,0.2,-0.00739873067072504
0.1,1.0,0.2,-0.0074049818253712095
0.1,0.1,0.3,-0.009724132772242435
0.1,0.5,0.3,-0.009720608072630036
0.1,1.0,0.3,-0.009718711090471939
1.0,0.1,0.1,-0.007108368930939233
1.0,0.5,0.1,-0.007117817758620629
1.0,1.0,0.1,-0.007122587859210325
1.0,0.1,0.2,-0.007400240857730801
1.0,0.5,0.2,-0.007424237712489178
1.0,1.0,0.2,-0.007423252348721414
1.0,0.1,0.3,-0.009717402148845327
1.0,0.5,0.3,-0.009372793682651322
1.0,1.0,0.3,-0.009066712615429023
10.0,0.1,0.1,-0.007117619862558895
10.0,0.5,0.1,-0.007121761972710728
10.0,1.0,0.1,-0.007111555260886974
10.0,0.1,0.2,-0.007407004686041539
10.0,0.5,0.2,-0.007427396599758482
10.0,1.0,0.2,-0.007433420019142156
10.0,0.1,0.3,-0.009319194592439569
10.0,0.5,0.3,-0.009041181344222875
10.0,1.0,0.3,-0.00900408808260155
