param_C,param_gamma,param_epsilon,mean_test_score
0.1,0.1,0.1,-0.030565841389138832
0.1,0.5,0.1,-0.030386122313460495
0.1,1.0,0.1,-0.031835852872945214
0.1,0.1,0.2,-0.07953915071496682
0.1,0.5,0.2,-0.08158877578051411
0.1,1.0,0.2,-0.08111457238359576
0.1,0.1,0.3,-0.4478240038661718
0.1,0.5,0.3,-0.4600127808463061
0.1,1.0,0.3,-0.4677458982251599
1.0,0.1,0.1,-0.03014286173702237
1.0,0.5,0.1,-0.032915227561015836
1.0,1.0,0.1,-0.03546409280226485
1.0,0.1,0.2,-0.08134411749921784
1.0,0.5,0.2,-0.08776500429705096
1.0,1.0,0.2,-0.08497096921010905
1.0,0.1,0.3,-0.466323466317309
1.0,0.5,0.3,-0.4682973939110651
1.0,1.0,0.3,-0.4817395256635603
10.0,0.1,0.1,-0.031476898592209736
10.0,0.5,0.1,-0.035327249281659055
10.0,1.0,0.1,-0.035339499846278745
10.0,0.1,0.2,-0.08598967627407135
10.0,0.5,0.2,-0.08537341012938386
10.0,1.0,0.2,-0.08397344889276252
10.0,0.1,0.3,-0.48356029731316014
10.0,0.5,0.3,-0.47985039753425357
10.0,1.0,0.3,-0.49557489300762875
