param_C,param_gamma,param_epsilon,mean_test_score
0.1,0.1,0.1,-0.005424541240398737
0.1,0.5,0.1,-0.005034544306033505
0.1,1.0,0.1,-0.004975702830406904
0.1,0.1,0.2,-0.007484829439783759
0.1,0.5,0.2,-0.006115393790029572
0.1,1.0,0.2,-0.005765428752032352
0.1,0.1,0.3,-0.009297200536534505
0.1,0.5,0.3,-0.007950575554348555
0.1,1.0,0.3,-0.007400593154722663
1.0,0.1,0.1,-0.00506976551954651
1.0,0.5,0.1,-0.004927717531597975
1.0,1.0,0.1,-0.004883123026365669
1.0,0.1,0.2,-0.005824081739726047
1.0,0.5,0.2,-0.005458160521665906
1.0,1.0,0.2,-0.005273094182282446
1.0,0.1,0.3,-0.007435099257116701
1.0,0.5,0.3,-0.006731731845093181
1.0,1.0,0.3,-0.0067097506151210864
10.0,0.1,0.1,-0.0049347964488866405
10.0,0.5,0.1,-0.004856604387333722
10.0,1.0,0.1,-0.004830256644649299
10.0,0.1,0.2,-0.005361203594761194
10.0,0.5,0.2,-0.005260713204051304
10.0,1.0,0.2,-0.005256236648776333
10.0,0.1,0.3,-0.0065531561397231845
10.0,0.5,0.3,-0.006447314122536199
10.0,1.0,0.3,-0.00642943578520043
