param_C,param_gamma,param_epsilon,mean_test_score
0.1,0.1,0.1,-0.028168584847791427
0.1,0.5,0.1,-0.028199842896410827
0.1,1.0,0.1,-0.028073028773276814
0.1,0.1,0.2,-0.07896114484085626
0.1,0.5,0.2,-0.07921857525488159
0.1,1.0,0.2,-0.07888564784324455
0.1,0.1,0.3,-0.44737672900866127
0.1,0.5,0.3,-0.45757344194864613
0.1,1.0,0.3,-0.4706775770272545
1.0,0.1,0.1,-0.02856890791984183
1.0,0.5,0.1,-0.029696913030888172
1.0,1.0,0.1,-0.028631995048948422
1.0,0.1,0.2,-0.07906300770102785
1.0,0.5,0.2,-0.07927525882851187
1.0,1.0,0.2,-0.07599770531850976
1.0,0.1,0.3,-0.47085781362417634
1.0,0.5,0.3,-0.5666269882423983
1.0,1.0,0.3,-0.6295634360105281
10.0,0.1,0.1,-0.029044518863375373
10.0,0.5,0.1,-0.029151674485754137
10.0,1.0,0.1,-0.02869964939641238
10.0,0.1,0.2,-0.07877301124698599
10.0,0.5,0.2,-0.07605976737015833
10.0,1.0,0.2,-0.07858180422088568
10.0,0.1,0.3,-0.5954713366917568
10.0,0.5,0.3,-0.5048963834852483
10.0,1.0,0.3,-0.5163783010377011
