param_C,param_gamma,param_epsilon,mean_test_score
0.1,0.1,0.1,-0.007130883551548878
0.1,0.5,0.1,-0.007869128379843916
0.1,1.0,0.1,-0.008903792633977961
0.1,0.1,0.2,-0.007214255704386496
0.1,0.5,0.2,-0.00721425242951576
0.1,1.0,0.2,-0.0072577582085518455
0.1,0.1,0.3,-0.009814870461322267
0.1,0.5,0.3,-0.010145695019819425
0.1,1.0,0.3,-0.01024874551530383
1.0,0.1,0.1,-0.007382042521155641
1.0,0.5,0.1,-0.009649890344080031
1.0,1.0,0.1,-0.009556489093593955
1.0,0.1,0.2,-0.007219335468539134
1.0,0.5,0.2,-0.007520515589357729
1.0,1.0,0.2,-0.007966003612116782
1.0,0.1,0.3,-0.010287937706673302
1.0,0.5,0.3,-0.009992307047785101
1.0,1.0,0.3,-0.009915657002489253
10.0,0.1,0.1,-0.009055433382120373
10.0,0.5,0.1,-0.009604818993044174
10.0,1.0,0.1,-0.00899665426031654
10.0,0.1,0.2,-0.007392333756940587
10.0,0.5,0.2,-0.008444841066422149
10.0,1.0,0.2,-0.009314665855187844
10.0,0.1,0.3,-0.010029837952392174
10.0,0.5,0.3,-0.009881310538191926
10.0,1.0,0.3,-0.009572638637615836
