param_C,param_gamma,param_epsilon,mean_test_score
0.1,0.1,0.1,-0.024115096691781506
0.1,0.5,0.1,-0.023039150955200743
0.1,1.0,0.1,-0.0205388872675993
0.1,0.1,0.2,-0.07801475059809963
0.1,0.5,0.2,-0.07641304396237551
0.1,1.0,0.2,-0.06871865088180458
0.1,0.1,0.3,-0.4465295110364969
0.1,0.5,0.3,-0.45322219279206005
0.1,1.0,0.3,-0.4616942128162726
1.0,0.1,0.1,-0.020410259379203006
1.0,0.5,0.1,-0.020790801764975792
1.0,1.0,0.1,-0.019799540661869803
1.0,0.1,0.2,-0.06863719863032225
1.0,0.5,0.2,-0.06821525363426002
1.0,1.0,0.2,-0.0680423516028101
1.0,0.1,0.3,-0.46175870669763547
1.0,0.5,0.3,-0.5289039339224965
1.0,1.0,0.3,-0.5603526493589461
10.0,0.1,0.1,-0.02141234808580979
10.0,0.5,0.1,-0.022906044032884248
10.0,1.0,0.1,-0.021093090634508777
10.0,0.1,0.2,-0.06808335933092764
10.0,0.5,0.2,-0.07106808119041907
10.0,1.0,0.2,-0.07654628735654785
10.0,0.1,0.3,-0.5609195020880035
10.0,0.5,0.3,-0.5825115239147227
10.0,1.0,0.3,-0.5983146647740615
