param_C,param_gamma,param_epsilon,mean_test_score
0.1,0.1,0.1,-0.027528075878084184
0.1,0.5,0.1,-0.02809528604459129
0.1,1.0,0.1,-0.028861818788693316
0.1,0.1,0.2,-0.0743998428007991
0.1,0.5,0.2,-0.07470473722105704
0.1,1.0,0.2,-0.07544361457903441
0.1,0.1,0.3,-0.44332860431264076
0.1,0.5,0.3,-0.4373771780347984
0.1,1.0,0.3,-0.43037860822306245
1.0,0.1,0.1,-0.02829158487617504
1.0,0.5,0.1,-0.033946367924933364
1.0,1.0,0.1,-0.03435847445628948
1.0,0.1,0.2,-0.07468478857818406
1.0,0.5,0.2,-0.07944515993278863
1.0,1.0,0.2,-0.08483346783191315
1.0,0.1,0.3,-0.4301144110620949
1.0,0.5,0.3,-0.41730980045086313
1.0,1.0,0.3,-0.43164405152820473
10.0,0.1,0.1,-0.02992564374610533
10.0,0.5,0.1,-0.034245155967339715
10.0,1.0,0.1,-0.03506637934354273
10.0,0.1,0.2,-0.08082651993925312
10.0,0.5,0.2,-0.08541411392454205
10.0,1.0,0.2,-0.08562136962212404
10.0,0.1,0.3,-0.43373548735591744
10.0,0.5,0.3,-0.42243964571707676
10.0,1.0,0.3,-0.42324193561128687
