param_C,param_gamma,param_epsilon,mean_test_score
0.1,0.1,0.1,-0.031010542989373224
0.1,0.5,0.1,-0.035106914908041374
0.1,1.0,0.1,-0.03238007427631443
0.1,0.1,0.2,-0.08521377885795307
0.1,0.5,0.2,-0.08009878509527672
0.1,1.0,0.2,-0.09432105705809664
0.1,0.1,0.3,-0.4580931657616545
0.1,0.5,0.3,-0.5079835564361798
0.1,1.0,0.3,-0.563611184423801
1.0,0.1,0.1,-0.03447470891519807
1.0,0.5,0.1,-0.033097499870779035
1.0,1.0,0.1,-0.03216509625079219
1.0,0.1,0.2,-0.09185286847548972
1.0,0.5,0.2,-0.10453391803912115
1.0,1.0,0.2,-0.10293429694213785
1.0,0.1,0.3,-0.5691558953450312
1.0,0.5,0.3,-0.6466601293634298
1.0,1.0,0.3,-0.7013775451862273
10.0,0.1,0.1,-0.03488431760812253
10.0,0.5,0.1,-0.031844365013314
10.0,1.0,0.1,-0.03754885704263063
10.0,0.1,0.2,-0.10104169162620906
10.0,0.5,0.2,-0.1044831282532274
10.0,1.0,0.2,-0.10729854703310122
10.0,0.1,0.3,-0.7007121384362601
10.0,0.5,0.3,-0.759000300620337
10.0,1.0,0.3,-0.763187262867969
