param_C,param_gamma,param_epsilon,mean_test_score
0.1,0.1,0.1,-0.024295292269085927
0.1,0.5,0.1,-0.020779722226162273
0.1,1.0,0.1,-0.017572180708528878
0.1,0.1,0.2,-0.07877561533165604
0.1,0.5,0.2,-0.08056627342386953
0.1,1.0,0.2,-0.07798134713665283
0.1,0.1,0.3,-0.44483259433365796
0.1,0.5,0.3,-0.4446922102521425
0.1,1.0,0.3,-0.4445241516113516
1.0,0.1,0.1,-0.01893908879410237
1.0,0.5,0.1,-0.019527250221480535
1.0,1.0,0.1,-0.020527747723382284
1.0,0.1,0.2,-0.07791825504633228
1.0,0.5,0.2,-0.07518625365526292
1.0,1.0,0.2,-0.07462202673825506
1.0,0.1,0.3,-0.44451041742731956
1.0,0.5,0.3,-0.4431447928974761
1.0,1.0,0.3,-0.4415820643227179
10.0,0.1,0.1,-0.022278062502433544
10.0,0.5,0.1,-0.022566896493851057
10.0,1.0,0.1,-0.022429367887648894
10.0,0.1,0.2,-0.07563479261280441
10.0,0.5,0.2,-0.07674056029025482
10.0,1.0,0.2,-0.07765599053546701
10.0,0.1,0.3,-0.44144766487338494
10.0,0.5,0.3,-0.43161304810592616
10.0,1.0,0.3,-0.43535853573434685
