param_C,param_gamma,param_epsilon,mean_test_score
0.1,0.1,0.1,-0.011265190135694195
0.1,0.5,0.1,-0.0319701064624233
0.1,1.0,0.1,-0.04768624494840227
0.1,0.1,0.2,-0.07564761200455994
0.1,0.5,0.2,-0.06147590336967649
0.1,1.0,0.2,-0.05462939047006565
0.1,0.1,0.3,-0.44790270385176
0.1,0.5,0.3,-0.4599234243250511
0.1,1.0,0.3,-0.47454149631635684
1.0,0.1,0.1,-0.0517150957636728
1.0,0.5,0.1,-0.0791724634092527
1.0,1.0,0.1,-0.09109061244160355
1.0,0.1,0.2,-0.05469594668825084
1.0,0.5,0.2,-0.047269523829575534
1.0,1.0,0.2,-0.051797811601578925
1.0,0.1,0.3,-0.47321199688579174
1.0,0.5,0.3,-0.4490740979431462
1.0,1.0,0.3,-0.42953680250966625
10.0,0.1,0.1,-0.08220208806613383
10.0,0.5,0.1,-0.1368850955631249
10.0,1.0,0.1,-0.19971583196338746
10.0,0.1,0.2,-0.04510489905774465
10.0,0.5,0.2,-0.05138939230204372
10.0,1.0,0.2,-0.061539808814726794
10.0,0.1,0.3,-0.42788152271870145
10.0,0.5,0.3,-0.44936949246640306
10.0,1.0,0.3,-0.424115233485973
