param_C,param_gamma,param_epsilon,mean_test_score
0.1,0.1,0.1,-0.0274461409293338
0.1,0.5,0.1,-0.027657798720197618
0.1,1.0,0.1,-0.028180049511471943
0.1,0.1,0.2,-0.07593409855981818
0.1,0.5,0.2,-0.07307811679283367
0.1,1.0,0.2,-0.07213171838788439
0.1,0.1,0.3,-0.48793999523425763
0.1,0.5,0.3,-0.559947143499368
0.1,1.0,0.3,-0.5613848052002396
1.0,0.1,0.1,-0.029066778426437567
1.0,0.5,0.1,-0.028897207291154303
1.0,1.0,0.1,-0.02881672033806933
1.0,0.1,0.2,-0.0727511890686261
1.0,0.5,0.2,-0.07525309673787677
1.0,1.0,0.2,-0.07137288351922229
1.0,0.1,0.3,-0.5592079664195454
1.0,0.5,0.3,-0.43607095644229993
1.0,1.0,0.3,-0.4134243176853896
10.0,0.1,0.1,-0.028433288480005963
10.0,0.5,0.1,-0.029039155742090483
10.0,1.0,0.1,-0.028197145729267643
10.0,0.1,0.2,-0.07148156964711139
10.0,0.5,0.2,-0.07361094740135421
10.0,1.0,0.2,-0.07500715335282122
10.0,0.1,0.3,-0.405721262918884
10.0,0.5,0.3,-0.4480545785431012
10.0,1.0,0.3,-0.5105006221743865
