param_C,param_gamma,param_epsilon,mean_test_score
0.1,0.1,0.1,-0.007084206720606368
0.1,0.5,0.1,-0.0070895738778096115
0.1,1.0,0.1,-0.007079755993353844
0.1,0.1,0.2,-0.007400219362199781
0.1,0.5,0.2,-0.0073898358331586115
0.1,1.0,0.2,-0.007379216368840281
0.1,0.1,0.3,-0.009842818071147123
0.1,0.5,0.3,-0.010096340411862553
0.1,1.0,0.3,-0.010318544109985252
1.0,0.1,0.1,-0.00708163708594436
1.0,0.5,0.1,-0.007074305296272085
1.0,1.0,0.1,-0.007078253646671283
1.0,0.1,0.2,-0.007404387176429339
1.0,0.5,0.2,-0.007372626685554155
1.0,1.0,0.2,-0.007389807005561686
1.0,0.1,0.3,-0.010317164760371615
1.0,0.5,0.3,-0.01020375022282638
1.0,1.0,0.3,-0.01005391936482441
10.0,0.1,0.1,-0.00708058939736034
10.0,0.5,0.1,-0.007076400627644194
10.0,1.0,0.1,-0.007085198534783339
10.0,0.1,0.2,-0.007375111301318336
10.0,0.5,0.2,-0.007397182749517448
10.0,1.0,0.2,-0.007383914257873484
10.0,0.1,0.3,-0.010068357944273748
10.0,0.5,0.3,-0.009905394332906861
10.0,1.0,0.3,-0.010013919279518398
