param_C,param_gamma,param_epsilon,mean_test_score
0.1,0.1,0.1,-0.0303204549105562
0.1,0.5,0.1,-0.029629090432605903
0.1,1.0,0.1,-0.03258553383628626
0.1,0.1,0.2,-0.07610752669699845
0.1,0.5,0.2,-0.07612145030104596
0.1,1.0,0.2,-0.07706718371718486
0.1,0.1,0.3,-0.4487086579286996
0.1,0.5,0.3,-0.46085063350389865
0.1,1.0,0.3,-0.46780069954826903
1.0,0.1,0.1,-0.030582532676533585
1.0,0.5,0.1,-0.032770330070025645
1.0,1.0,0.1,-0.03196443724632595
1.0,0.1,0.2,-0.07447285170776619
1.0,0.5,0.2,-0.07608379968507147
1.0,1.0,0.2,-0.07807506398984827
1.0,0.1,0.3,-0.46832697316312116
1.0,0.5,0.3,-0.5188248254338522
1.0,1.0,0.3,-0.589943503939855
10.0,0.1,0.1,-0.033593604116263144
10.0,0.5,0.1,-0.032031173518585164
10.0,1.0,0.1,-0.03312831449457695
10.0,0.1,0.2,-0.07540368588398749
10.0,0.5,0.2,-0.07890558271630899
10.0,1.0,0.2,-0.08148289670054099
10.0,0.1,0.3,-0.5858500621737824
10.0,0.5,0.3,-0.5587778445708896
10.0,1.0,0.3,-0.5133161170983768
