param_C,param_gamma,param_epsilon,mean_test_score
0.1,0.1,0.1,-0.12316496096445229
0.1,0.5,0.1,-0.2517518916317734
0.1,1.0,0.1,-0.287502054256312
0.1,0.1,0.2,-0.06457617597031262
0.1,0.5,0.2,-0.10483213107780458
0.1,1.0,0.2,-0.13851528894844303
0.1,0.1,0.3,-0.45309066664911063
0.1,0.5,0.3,-0.44793537442171405
0.1,1.0,0.3,-0.3874285776662148
1.0,0.1,0.1,-0.24503466452016132
1.0,0.5,0.1,-0.44451392833025744
1.0,1.0,0.1,-0.40396875143458666
1.0,0.1,0.2,-0.11370518630232322
1.0,0.5,0.2,-0.21328218567323268
1.0,1.0,0.2,-0.3380337052457143
1.0,0.1,0.3,-0.4231846134661434
1.0,0.5,0.3,-0.28611639661431904
1.0,1.0,0.3,-0.29722762157841837
10.0,0.1,0.1,-0.4505395900722861
10.0,0.5,0.1,-0.5016214148617312
10.0,1.0,0.1,-0.5126300278861832
10.0,0.1,0.2,-0.2073518832869059
10.0,0.5,0.2,-0.45947706346216144
10.0,1.0,0.2,-0.367352442791489
10.0,0.1,0.3,-0.3467443958231507
10.0,0.5,0.3,-0.31660024563157724
10.0,1.0,0.3,-0.2997376243340228
